priority,name,category,latitude,longitude,own_brand_note,competitor_count,competitor_brands,competitor_max_kw,source_id,next_step
HIGH,1 Nolu Açs Ve Aile Planlama Merkez,clinic,39.9634634,32.7887864,,0,,0.0,way/460461792,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,100. Yıl Aile Sağlığı Merkezi,clinic,39.8941261,32.7946621,,0,,0.0,node/9422789842,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,19 Mayis Saglik Ocagi,clinic,39.9875612,32.8508137,,0,,0.0,node/4232354291,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,29 Mayıs Hastanesi,hospital,39.875679,32.8345198,,0,,0.0,way/441138201,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,365 AVM,mall,39.875625,32.869883,zes 0kW,0,,0.0,way/284664754,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,50. Yıl Aile Sağlığı Merkezi,clinic,39.9225622,32.8825267,,0,,0.0,way/1157897290,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,60. Yıl Aile Sağlığı Merkez,clinic,39.9066544,32.9110805,,0,,0.0,way/429877067,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,64. Yurt / Yurtlar Müdürlüğü,business_centre,39.8634541,32.749148,,0,,0.0,way/194700265,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,A LIFE HOSPİTAL,hospital,39.9537617,32.6281702,,0,,0.0,node/6908189886,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,A LİFE HOSPİTAL,hospital,40.0429216,32.9063771,,0,,0.0,way/406194563,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,AMATEM,hospital,39.9885106,32.7630094,,0,,0.0,way/616198180,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,ARSLAN ÇOCUK KLİNİĞİ,clinic,39.9730928,32.8858385,,0,,0.0,node/11022512401,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,ASELSAN ARGE Binası,business_centre,39.89342,32.7735823,,0,,0.0,way/423686079,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Abdullah Pazarbaşı Aile Sağlık Merkezi,clinic,39.9929568,32.8835913,,0,,0.0,way/412403017,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Acil Servis,clinic,39.9697674,32.6958431,,0,,0.0,node/12094885449,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Adnan Yüksel ASM Aile Sağlığı Merkezi,clinic,39.9777553,32.8293264,,0,,0.0,node/12378377401,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Aile Sağlığı Merkezi,clinic,39.978061,32.6191245,,0,,0.0,way/228830382,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Akcan,mall,39.9784274,32.8597877,,0,,0.0,node/14021746663,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Aktepe Sağlık Ocağı,clinic,39.9996934,32.8840553,,0,,0.0,way/406047014,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Albir Gross,mall,40.0431341,32.9267175,,0,,0.0,way/1313210528,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Altunbilekler Market,mall,39.9822274,32.7491801,,0,,0.0,way/429939634,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Altındağ 4 Nolu Aile Sağlığı Merkezi,clinic,39.9748466,32.9725777,,0,,0.0,way/1047196655,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Anatolia Tüp Bebek Merkezi,clinic,39.8930408,32.8561725,,0,,0.0,node/247208801,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Anfa Güvenlik,business_centre,39.8833589,32.8299187,,0,,0.0,way/1395056023,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Angora Çarşı,mall,39.8570687,32.6331907,,0,,0.0,relation/16388419,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Bilkent Şehir Hastanesi,hospital,39.9007383,32.757011,,0,,0.0,way/724710677,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Bilkent Şehir Hastanesi Radyasyon Onkolojisi,hospital,39.8984326,32.7575882,,0,,0.0,node/12019690869,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Etlik Şehir Hastanesi,hospital,39.9636744,32.8277855,,0,,0.0,way/451822397,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Eğitim Ve Araştırma Hastanesi,hospital,39.9368769,32.8758314,,0,,0.0,way/387217824,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Eğitim ve Araştırma Hastanesi Hüseyingazi Semt Polikliniği,hospital,39.9684373,32.9618981,,0,,0.0,way/1262809083,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Gazi Mustafa Kemal Mesleki ve Çevresel Hastalıklar Hastanesi,hospital,39.9450353,32.8240136,,0,,0.0,way/280239178,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Meslek Hastalıkları Hastanesi,hospital,40.0079039,32.8611095,,0,,0.0,way/405321396,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Numune Hastanesi Siteler,hospital,39.9572683,32.8953316,,0,,0.0,node/4230329694,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Uluslararası Hastanesi,hospital,40.002211,32.8735609,,0,,0.0,way/405601395,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Çeviri Bürosu,business_centre,39.9177021,32.8566752,,0,,0.0,way/225919895,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Üniversitesi Tıp Fakültesi Cebeci Hastanesi,hospital,39.9333314,32.8836893,,0,,0.0,way/56697022,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Üniversitesi Tıp Fakültesi Kalp Merkezi,hospital,39.9350483,32.8824768,,0,,0.0,way/1445758106,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,AnkaraLife,clinic,39.9233501,32.855563,,0,,0.0,node/8549752696,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankasu Göz,hospital,39.9769159,32.8696221,,0,,0.0,way/414801239,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Anse AVM,mall,39.8957145,32.6773601,,0,,0.0,way/332236311,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ansera AVM,mall,39.8893707,32.8500218,,0,,0.0,way/67522909,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Arslan Çocuk Kliniği,clinic,39.9730237,32.8858509,,0,,0.0,way/414910480,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Arya Çarşı,mall,39.9923527,32.6141377,,0,,0.0,way/455669584,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Asya Aile Sağlığı Merkezi,clinic,40.0002747,32.862321,,0,,0.0,node/4076349292,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ata Yıldız Plaza,business_centre,39.9668023,32.6354422,,0,,0.0,way/429328830,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Eğitim Ve Araştırma Hastanesi Semt Polikliniği,hospital,39.9117512,32.825822,,0,,0.0,way/417670214,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Göğüs Hastalıkları ve Cerrahi Hastanesi,hospital,40.0016941,32.854332,,0,,0.0,way/360595930,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Hastanesi Çukurambar Semt Polikliniği,clinic,39.9002752,32.8044486,,0,,0.0,node/1854436961,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Sanatoryum Eğitim ve Araştırma Hastanesi,hospital,40.0020883,32.8569323,,0,,0.0,way/360597260,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ayaslı Araştırma Merkezi,business_centre,39.8908337,32.7817357,,0,,0.0,way/430982889,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Aydınlıkevler Aile Sağlığı Merkezi,clinic,39.9603058,32.8806327,,0,,0.0,node/11386192340,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Aynalı Çarşı,mall,39.9061957,32.8610366,,0,,0.0,node/247208696,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ayyıldız Çarşısı,mall,39.9391727,32.6195638,,0,,0.0,way/1408517254,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Bademlik Aile Sağlığı Merkezi,clinic,40.0089856,32.8745306,,0,,0.0,way/406046989,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Balıkçıoğlu İş Merkezi,business_centre,39.9267167,32.8545515,,0,,0.0,way/698088300,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
